fold	n_features_all_features	train_acc_all_features	train_nmi_all_features	train_roc_all_features	n_max	n_features	train_acc	train_nmi	train_roc	test_acc	test_nmi	test_roc	n_redundant	test_acc_redundant	test_nmi_redundant	test_roc_redundant
0	22681	0.31746031746031744	0.08952220820476736	0.31698564593301437	140	51	0.7507987220447284	0.17440007099737823	0.7353738040809414	0.6571428571428571	0.0619470553263847	0.6333333333333334	113	0.6571428571428571	0.06395367742808811	0.625
1	22681	0.3333333333333333	0.0708981613041828	0.34667359667359665	16533	40	0.7507987220447284	0.18760754262872606	0.7516086698840064	0.6	0.024642564437188243	0.5916666666666666	81	0.6857142857142857	0.09853281263492192	0.6833333333333332
2	22681	0.30158730158730157	0.08509963329479273	0.327906976744186	45	22681	0.9456869009584664	0.6973962056385682	0.9480363175675676	0.7142857142857143	0.12330308064043888	0.7023809523809523	81	0.6285714285714286	0.04105901016296155	0.6190476190476191
3	22681	0.2857142857142857	0.12774182178552845	0.2915789473684211	11	11	0.5527156549520766	0.004120317189978524	0.5373733108108107	0.34285714285714286	0.08012306487747659	0.3333333333333333	11	0.34285714285714286	0.08012306487747659	0.3333333333333333
4	22681	0.3333333333333333	0.08744329426675979	0.3409090909090909	40	40	0.744408945686901	0.166908213338494	0.7332347972972972	0.6285714285714286	0.04879261759884302	0.6309523809523809	40	0.6285714285714286	0.04879261759884302	0.6309523809523809
5	22681	0.2857142857142857	0.15677761298960702	0.2773833671399594	45	45	0.792332268370607	0.26874671476125506	0.7978462837837837	0.5714285714285714	0.0007207382468418563	0.5119047619047619	45	0.5714285714285714	0.0007207382468418563	0.5119047619047619
6	22681	0.25396825396825395	0.17672900623200133	0.24999999999999997	2007	2007	0.9552715654952076	0.732892739222767	0.9513302364864866	0.6571428571428571	0.05521433427132561	0.6309523809523809	2007	0.6571428571428571	0.05521433427132561	0.6309523809523809
7	22681	0.2698412698412698	0.14190618466056404	0.28526315789473683	22	22681	0.9552715654952076	0.734414217557855	0.9561444256756758	0.6	0.01639523826600376	0.5714285714285714	40	0.6	0.012966970745344471	0.5595238095238095
8	22681	0.3333333333333333	0.07240706998169719	0.34134615384615385	16533	16533	0.9681528662420382	0.79520838443148	0.9645917338709677	0.5294117647058824	0.0017751273264496052	0.525	16533	0.5294117647058824	0.0017751273264496052	0.525
9	22681	0.23809523809523808	0.2255823646585132	0.2399193548387097	64	22681	0.8726114649681529	0.4607450542244216	0.8790742607526882	0.7058823529411765	0.1252643400324251	0.7071428571428571	126	0.5882352941176471	0.01035114683859958	0.5535714285714285
