group1	group2	Diff	Lower	Upper	q-value	p-value	Metrics
('RFE_0.1', 'ridge')	('RFE_0.1', 'enet')	0.7810305833816527	-6.891757799842418	8.453818966605724	0.5020846281478707	0.9	CPU
('RFE_0.1', 'ridge')	('RFE_0.1', 'svr')	16.31032762527466	8.63753924205059	23.98311600849873	10.485075687112131	0.001	CPU
('RFE_0.1', 'ridge')	('RFE_0.1', 'rf')	166.1046544790268	158.43186609580275	173.77744286225087	106.78018947304113	0.001	CPU
('RFE_0.1', 'ridge')	('RFE_100.0', 'ridge')	37.05730843544006	29.384520052215994	44.73009681866414	23.822248861767108	0.001	CPU
('RFE_0.1', 'ridge')	('RFE_100.0', 'enet')	34.73975570201874	27.06696731879467	42.412544085242814	22.332412705371265	0.001	CPU
('RFE_0.1', 'ridge')	('RFE_100.0', 'svr')	248.67595596313475	241.0031675799107	256.34874434635884	159.86105734614412	0.001	CPU
('RFE_0.1', 'ridge')	('RFE_100.0', 'rf')	1564.5346276044845	1556.8618392212604	1572.2074159877086	1005.7593178030703	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.1', 'ridge')	222.91662805080415	215.2438396675801	230.5894164340282	143.3017024996238	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.1', 'enet')	165.38017361164094	157.70738522841688	173.052961994865	106.3144577659334	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.1', 'svr')	555.9558351755143	548.2830467922902	563.6286235587384	357.3955805445534	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.1', 'rf')	1086.5293123483657	1078.8565239651416	1094.2021007315898	698.4741409231299	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.2', 'ridge')	121.86207225322724	114.18928387000317	129.5348606364513	78.33889547279392	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.2', 'enet')	91.97415885925292	84.30137047602885	99.646947242477	59.12548411371977	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.2', 'svr')	294.2670077562332	286.59421937300914	301.9397961394573	189.16921348427914	0.001	CPU
('RFE_0.1', 'ridge')	('dRFE_0.2', 'rf')	601.4413363933563	593.7685480101322	609.1141247765804	386.6358836146319	0.001	CPU
('RFE_0.1', 'enet')	('RFE_0.1', 'svr')	17.091358208656313	9.418569825432243	24.764146591880383	10.987160315260002	0.001	CPU
('RFE_0.1', 'enet')	('RFE_0.1', 'rf')	166.88568506240847	159.2128966791844	174.55847344563253	107.282274101189	0.001	CPU
('RFE_0.1', 'enet')	('RFE_100.0', 'ridge')	37.83833901882171	30.165550635597643	45.51112740204579	24.324333489914977	0.001	CPU
('RFE_0.1', 'enet')	('RFE_100.0', 'enet')	35.52078628540039	27.84799790217632	43.193574668624464	22.83449733351913	0.001	CPU
('RFE_0.1', 'enet')	('RFE_100.0', 'svr')	249.45698654651642	241.78419816329236	257.1297749297405	160.363141974292	0.001	CPU
('RFE_0.1', 'enet')	('RFE_100.0', 'rf')	1565.3156581878661	1557.642869804642	1572.9884465710902	1006.2614024312181	0.001	CPU
('RFE_0.1', 'enet')	('dRFE_0.1', 'ridge')	223.6976586341858	216.02487025096175	231.37044701740987	143.80378712777167	0.001	CPU
