RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	100.0	enet	1	39	81	39719	59	1068.528691291809
RFE	100.0	svr	1	48	72	39228	550	447.3537728786469
RFE	100.0	rf	1	24	96	39704	74	19550.13323545456
RFE	100.0	ridge	2	49	71	39029	731	366.9660692214966
RFE	100.0	enet	2	40	80	39720	40	1111.0135247707367
RFE	100.0	svr	2	48	72	39228	532	447.668399810791
RFE	100.0	rf	2	19	101	39699	61	19400.29312825203
RFE	100.0	ridge	3	25	95	39705	67	370.2762937545776
RFE	100.0	enet	3	35	85	39715	57	1076.1519434452057
RFE	100.0	svr	3	35	85	39415	357	462.1148955821991
RFE	100.0	rf	3	25	95	39705	67	20349.40820717812
RFE	100.0	ridge	4	6	114	39786	0	370.6022989749909
RFE	100.0	enet	4	38	82	39718	68	1113.8997583389282
RFE	100.0	svr	4	55	65	38935	851	445.4006078243256
RFE	100.0	rf	4	21	99	39701	85	21183.600414276123
RFE	100.0	ridge	5	48	72	39328	457	366.5346450805664
RFE	100.0	enet	5	40	80	39720	65	1083.7772760391235
RFE	100.0	svr	5	55	65	39035	750	451.6511723995209
RFE	100.0	rf	5	27	93	39707	78	20899.31715774536
RFE	100.0	ridge	6	52	68	39132	651	371.82801032066345
RFE	100.0	enet	6	39	81	39719	64	1091.6469721794128
RFE	100.0	svr	6	51	69	39231	552	457.3636403083801
RFE	100.0	rf	6	28	92	39708	75	20659.12492609024
RFE	100.0	ridge	7	55	65	39235	553	371.0575189590454
RFE	100.0	enet	7	38	82	39718	70	1072.1463198661804
RFE	100.0	svr	7	49	71	39229	559	445.4611761569977
RFE	100.0	rf	7	26	94	39706	82	21730.4784617424
RFE	100.0	ridge	8	20	100	39700	81	368.4254312515259
RFE	100.0	enet	8	35	85	39715	66	1133.774647951126
RFE	100.0	svr	8	52	68	39132	649	434.49665093421936
RFE	100.0	rf	8	25	95	39705	76	22481.639228105545
RFE	100.0	ridge	9	52	68	39132	666	372.9396004676819
RFE	100.0	enet	9	38	82	39718	80	1118.1718428134918
RFE	100.0	svr	9	54	66	38934	864	449.483870267868
RFE	100.0	rf	9	21	99	39701	97	22108.557170391083
dRFE	0.1	ridge	0	50	70	39209	567	385.5856804847717
dRFE	0.1	enet	0	39	81	39661	115	453.2617127895355
dRFE	0.1	svr	0	52	68	38722	1054	402.7787661552429
dRFE	0.1	rf	0	22	98	39741	35	2205.871859312057
dRFE	0.1	ridge	1	54	66	39246	532	388.4802188873291
dRFE	0.1	enet	1	40	80	39681	97	450.3052394390106
dRFE	0.1	svr	1	58	62	38841	937	402.7401480674744
dRFE	0.1	rf	1	19	101	39743	35	2187.330787420273
dRFE	0.1	ridge	2	50	70	39193	567	386.7774295806885
dRFE	0.1	enet	2	40	80	39637	123	450.1500062942505
dRFE	0.1	svr	2	52	68	38707	1053	406.4246115684509
dRFE	0.1	rf	2	19	101	39731	29	2183.847516298294
dRFE	0.1	ridge	3	51	69	39239	533	387.43626260757446
dRFE	0.1	enet	3	36	84	39664	108	447.083575963974
dRFE	0.1	svr	3	59	61	38726	1046	402.871458530426
dRFE	0.1	rf	3	24	96	39748	24	2150.134454250336
dRFE	0.1	ridge	4	53	67	39254	532	387.85042095184326
dRFE	0.1	enet	4	41	79	39674	112	445.2445466518402
dRFE	0.1	svr	4	59	61	38739	1047	404.34520983695984
dRFE	0.1	rf	4	23	97	39758	28	2146.1907589435577
dRFE	0.1	ridge	5	54	66	39254	531	388.089016199112
dRFE	0.1	enet	5	39	81	39679	106	449.99715399742126
dRFE	0.1	svr	5	58	62	38793	992	403.8426642417908
dRFE	0.1	rf	5	25	95	39759	26	2166.735050201416
dRFE	0.1	ridge	6	51	69	39279	504	389.1031002998352
dRFE	0.1	enet	6	41	79	39679	104	445.49793124198914
dRFE	0.1	svr	6	55	65	38788	995	393.7367548942566
dRFE	0.1	rf	6	24	96	39759	24	2199.8263535499573
dRFE	0.1	ridge	7	56	64	39259	529	390.11686730384827
dRFE	0.1	enet	7	38	82	39681	107	454.4387767314911
dRFE	0.1	svr	7	60	60	38854	934	405.2874159812927
dRFE	0.1	rf	7	25	95	39762	26	2173.4859521389008
dRFE	0.1	ridge	8	56	64	39220	561	389.8446729183197
dRFE	0.1	enet	8	38	82	39674	107	450.7932147979736
dRFE	0.1	svr	8	57	63	38732	1049	397.0644211769104
dRFE	0.1	rf	8	25	95	39755	26	2232.171512365341
dRFE	0.1	ridge	9	50	70	39262	536	389.5283257961273
dRFE	0.1	enet	9	35	85	39689	109	453.0238587856293
dRFE	0.1	svr	9	57	63	38748	1050	398.9993567466736
dRFE	0.1	rf	9	20	100	39761	37	2211.347894191742
dRFE	0.2	ridge	0	51	69	39112	664	213.1418988704681
dRFE	0.2	enet	0	41	79	39631	145	250.835834980011
dRFE	0.2	svr	0	52	68	38708	1068	219.12467288970947
dRFE	0.2	rf	0	23	97	39739	37	1211.6373360157013
dRFE	0.2	ridge	1	57	63	39119	659	212.5720281600952
dRFE	0.2	enet	1	40	80	39651	127	248.85287737846372
dRFE	0.2	svr	1	58	62	38715	1063	218.2609508037567
dRFE	0.2	rf	1	18	102	39748	30	1181.1296005249023
dRFE	0.2	ridge	2	47	73	39091	669	212.29770398139956
dRFE	0.2	enet	2	41	79	39615	145	251.1541697978973
dRFE	0.2	svr	2	52	68	38692	1068	218.48394894599917
dRFE	0.2	rf	2	18	102	39724	36	1181.20437002182
dRFE	0.2	ridge	3	50	70	39106	666	212.6781933307648
dRFE	0.2	enet	3	37	83	39623	149	247.747483253479
dRFE	0.2	svr	3	59	61	38711	1061	220.93014764785767
dRFE	0.2	rf	3	23	97	39747	25	1178.3424174785614
dRFE	0.2	ridge	4	56	64	39126	660	214.7530279159546
dRFE	0.2	enet	4	44	76	39644	142	248.26286697387692
dRFE	0.2	svr	4	55	65	38721	1065	218.67770266532895
dRFE	0.2	rf	4	23	97	39761	25	1170.9818336963654
dRFE	0.2	ridge	5	59	61	39128	657	212.91420125961304
dRFE	0.2	enet	5	40	80	39639	146	249.495135307312
dRFE	0.2	svr	5	61	59	38726	1059	217.8288586139679
dRFE	0.2	rf	5	26	94	39757	28	1184.1708812713623
dRFE	0.2	ridge	6	51	69	39118	665	212.6083240509033
dRFE	0.2	enet	6	40	80	39637	146	248.33163619041443
dRFE	0.2	svr	6	58	62	38720	1063	220.99806380271912
dRFE	0.2	rf	6	24	96	39759	24	1168.8491823673248
dRFE	0.2	ridge	7	54	66	39270	518	212.65780091285703
dRFE	0.2	enet	7	38	82	39640	148	250.24361968040463
dRFE	0.2	svr	7	58	62	38725	1063	218.86568808555603
dRFE	0.2	rf	7	24	96	39764	24	1147.700830936432
dRFE	0.2	ridge	8	53	67	39262	519	212.31977939605716
dRFE	0.2	enet	8	42	78	39637	144	250.9329724311829
dRFE	0.2	svr	8	57	63	38829	952	218.5027027130127
dRFE	0.2	rf	8	25	95	39758	23	1183.7726202011108
dRFE	0.2	ridge	9	51	69	39277	521	212.09069180488584
dRFE	0.2	enet	9	38	82	39650	148	253.1588377952576
dRFE	0.2	svr	9	57	63	38734	1064	219.8731300830841
dRFE	0.2	rf	9	20	100	39758	40	1178.126289844513
