RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	0.1	ridge	0	6	114	39776	0	13.245963335037231
RFE	0.1	enet	0	118	2	35899	3877	32.32125282287598
RFE	0.1	svr	0	6	114	39776	0	11.735218286514282
RFE	0.1	rf	0	6	114	39776	0	579.4957072734833
RFE	0.1	ridge	1	7	113	39777	1	12.364233255386353
RFE	0.1	enet	1	118	2	35899	3879	31.5903377532959
RFE	0.1	svr	1	7	113	39777	1	12.017138957977297
RFE	0.1	rf	1	71	49	27874	11904	591.0149915218353
RFE	0.1	ridge	2	1	119	39760	0	12.31625199317932
RFE	0.1	enet	2	118	2	35890	3870	32.410738468170166
RFE	0.1	svr	2	1	119	39760	0	11.873136520385742
RFE	0.1	rf	2	45	75	35817	3943	586.7235872745514
RFE	0.1	ridge	3	2	118	39772	0	11.962627649307253
RFE	0.1	enet	3	118	2	35899	3873	31.524659633636475
RFE	0.1	svr	3	2	118	39772	0	12.065417528152466
RFE	0.1	rf	3	119	1	11966	27806	559.7042815685272
RFE	0.1	ridge	4	6	114	39786	0	12.240629434585571
RFE	0.1	enet	4	118	2	15958	23828	29.75576138496399
RFE	0.1	svr	4	6	114	39786	0	11.914832830429075
RFE	0.1	rf	4	6	114	39786	0	585.5088088512421
RFE	0.1	ridge	5	69	51	35859	3926	12.662714958190918
RFE	0.1	enet	5	120	0	35910	3875	30.348902225494385
RFE	0.1	svr	5	69	51	35859	3926	12.187460660934448
RFE	0.1	rf	5	68	52	27878	11907	585.7675905227661
RFE	0.1	ridge	6	3	117	39783	0	10.791287183761597
RFE	0.1	enet	6	120	0	35910	3873	32.29414248466492
RFE	0.1	svr	6	67	53	35857	3926	12.28819227218628
RFE	0.1	rf	6	120	0	0	39783	548.2335200309753
RFE	0.1	ridge	7	7	113	39787	1	10.565236330032349
RFE	0.1	enet	7	118	2	35908	3880	30.94816398620605
RFE	0.1	svr	7	7	113	39787	1	12.197309732437134
RFE	0.1	rf	7	119	1	7979	31809	556.8066821098328
RFE	0.1	ridge	8	66	54	35856	3925	10.93684434890747
RFE	0.1	enet	8	118	2	35908	3873	33.00766706466675
RFE	0.1	svr	8	65	55	35855	3926	12.141851902008057
RFE	0.1	rf	8	120	0	23940	15841	582.0004775524139
RFE	0.1	ridge	9	7	113	39797	1	10.695495128631592
RFE	0.1	enet	9	118	2	23944	15854	30.447598457336422
RFE	0.1	svr	9	7	113	39797	1	12.24115777015686
RFE	0.1	rf	9	120	0	7982	31816	534.7624011039734
RFE	100.0	ridge	0	53	67	38433	1343	366.5754346847534
RFE	100.0	enet	0	37	83	39717	59	1104.4812054634094
RFE	100.0	svr	0	52	68	38532	1244	439.1004271507263
RFE	100.0	rf	0	21	99	39701	75	19379.624188899998
RFE	100.0	ridge	1	53	67	39133	645	367.0126876831055
