RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	0.1	ridge	0	30	0	8999	970	7.141819000244141
RFE	0.1	enet	0	30	0	9000	969	4.814972400665283
RFE	0.1	svr	0	1	29	9969	0	21.102527379989624
RFE	0.1	rf	0	30	0	2000	7969	164.21661806106567
RFE	0.1	ridge	1	1	29	9969	0	6.241053104400635
RFE	0.1	enet	1	30	0	8999	970	5.023975372314453
RFE	0.1	svr	1	30	0	8999	970	22.159443616867065
RFE	0.1	rf	1	25	5	8994	975	176.58185124397278
RFE	0.1	ridge	2	30	0	8999	970	6.246704816818237
RFE	0.1	enet	2	30	0	9000	969	4.726654529571533
RFE	0.1	svr	2	30	0	8999	970	22.362243175506592
RFE	0.1	rf	2	30	0	1000	8969	160.6859815120697
RFE	0.1	ridge	3	1	29	9969	0	5.92689323425293
RFE	0.1	enet	3	30	0	9000	969	4.534564733505249
RFE	0.1	svr	3	1	29	9969	0	22.11251640319824
RFE	0.1	rf	3	28	2	3998	5971	171.8829710483551
RFE	0.1	ridge	4	30	0	8999	970	6.115513801574707
RFE	0.1	enet	4	30	0	0	9969	3.464902877807617
RFE	0.1	svr	4	30	0	7999	1970	22.00563645362854
RFE	0.1	rf	4	25	5	8994	975	175.61295700073242
RFE	0.1	ridge	5	30	0	9000	969	6.410789966583252
RFE	0.1	enet	5	30	0	3000	6969	4.062911510467529
RFE	0.1	svr	5	30	0	9000	969	22.560311555862427
RFE	0.1	rf	5	27	3	8996	973	179.26585173606873
RFE	0.1	ridge	6	30	0	1000	8969	2.0829877853393555
RFE	0.1	enet	6	30	0	9000	969	4.604171752929688
RFE	0.1	svr	6	30	0	1000	8969	16.07294011116028
RFE	0.1	rf	6	30	0	0	9969	153.77573108673096
RFE	0.1	ridge	7	30	0	8999	970	4.772702217102051
RFE	0.1	enet	7	30	0	9000	969	4.841020584106445
RFE	0.1	svr	7	30	0	8999	970	22.745667219161987
RFE	0.1	rf	7	27	3	7996	1973	179.73085737228394
RFE	0.1	ridge	8	30	0	6999	2970	4.08561372756958
RFE	0.1	enet	8	30	0	8999	970	5.055476665496826
RFE	0.1	svr	8	30	0	8999	970	22.67683815956116
RFE	0.1	rf	8	29	1	6999	2970	173.31875872612
RFE	0.1	ridge	9	1	29	9969	0	4.503639936447144
RFE	0.1	enet	9	30	0	8999	970	4.588761329650879
