RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	100.0	svc	3	51	49	19851	49	1599.1437940597534
RFE	100.0	rf	3	69	31	19869	31	769.7429249286652
RFE	100.0	lr	4	69	31	19869	31	1370.0648181438446
RFE	100.0	sgd	4	41	59	19841	59	51.5281138420105
RFE	100.0	svc	4	59	41	19859	41	1440.5523054599762
RFE	100.0	rf	4	64	36	19864	36	757.5035281181335
RFE	100.0	lr	5	67	33	19867	33	1398.3445663452148
RFE	100.0	sgd	5	58	42	19758	142	47.12554216384888
RFE	100.0	svc	5	56	44	19856	44	1455.2105424404144
RFE	100.0	rf	5	99	1	17099	2801	735.4007322788239
RFE	100.0	lr	6	72	28	19872	28	1436.6602642536163
RFE	100.0	sgd	6	35	65	19835	65	52.75863790512085
RFE	100.0	svc	6	60	40	19860	40	2007.2048037052157
RFE	100.0	rf	6	100	0	19200	700	758.4475531578064
RFE	100.0	lr	7	75	25	19875	25	1393.602162361145
RFE	100.0	sgd	7	65	35	19765	135	49.90084147453308
RFE	100.0	svc	7	61	39	19861	39	1423.6458992958069
RFE	100.0	rf	7	69	31	19869	31	776.8253808021545
RFE	100.0	lr	8	70	30	19870	30	1406.458074092865
RFE	100.0	sgd	8	41	59	19841	59	50.33251690864563
RFE	100.0	svc	8	55	45	19855	45	1402.034108877182
RFE	100.0	rf	8	64	36	19864	36	754.079247713089
RFE	100.0	lr	9	72	28	19872	28	1393.649616241455
RFE	100.0	sgd	9	44	56	19844	56	52.06182289123535
RFE	100.0	svc	9	58	42	19858	42	1762.4860661029816
RFE	100.0	rf	9	69	31	19869	31	753.0855040550232
dRFE	0.1	lr	0	9	91	19900	0	1058.156176328659
dRFE	0.1	sgd	0	37	63	19899	1	160.07524609565735
dRFE	0.1	svc	0	14	86	19898	2	867.3568644523621
dRFE	0.1	rf	0	100	0	19810	90	942.7629306316376
dRFE	0.1	lr	1	9	91	19900	0	1061.5529944896698
dRFE	0.1	sgd	1	22	78	19900	0	164.37680196762085
dRFE	0.1	svc	1	8	92	19900	0	847.8582947254181
dRFE	0.1	rf	1	95	5	19879	21	947.4569108486176
dRFE	0.1	lr	2	19	81	19899	1	1134.4002888202667
dRFE	0.1	sgd	2	57	43	19897	3	163.1999785900116
dRFE	0.1	svc	2	10	90	19900	0	868.7123026847839
dRFE	0.1	rf	2	25	75	19900	0	947.9502720832824
dRFE	0.1	lr	3	7	93	19900	0	1062.7692155838013
dRFE	0.1	sgd	3	25	75	19899	1	163.8779501914978
dRFE	0.1	svc	3	6	94	19898	2	839.5880401134491
dRFE	0.1	rf	3	99	1	19846	54	933.110550880432
dRFE	0.1	lr	4	9	91	19899	1	1040.9135029315948
dRFE	0.1	sgd	4	52	48	19898	2	162.063973903656
dRFE	0.1	svc	4	11	89	19899	1	832.9409337043762
dRFE	0.1	rf	4	99	1	19743	157	937.62663936615
dRFE	0.1	lr	5	8	92	19900	0	1015.936311006546
dRFE	0.1	sgd	5	18	82	19900	0	162.16203093528748
dRFE	0.1	svc	5	13	87	19898	2	831.9094426631927
dRFE	0.1	rf	5	98	2	19819	81	934.1457221508026
dRFE	0.1	lr	6	96	4	17167	2733	1142.357246875763
dRFE	0.1	sgd	6	77	23	19883	17	163.69720840454102
dRFE	0.1	svc	6	10	90	19899	1	840.6124336719513
dRFE	0.1	rf	6	81	19	19897	3	946.197035074234
dRFE	0.1	lr	7	7	93	19900	0	1036.6360697746277
dRFE	0.1	sgd	7	32	68	19900	0	162.9362280368805
dRFE	0.1	svc	7	6	94	19899	1	810.1892716884613
dRFE	0.1	rf	7	75	25	19900	0	935.8604006767272
dRFE	0.1	lr	8	1	99	19900	0	1033.6250622272491
dRFE	0.1	sgd	8	72	28	19892	8	163.79537892341614
dRFE	0.1	svc	8	14	86	19900	0	795.6472117900848
dRFE	0.1	rf	8	96	4	19858	42	943.3341016769408
dRFE	0.1	lr	9	11	89	19900	0	1068.5912606716156
dRFE	0.1	sgd	9	77	23	19897	3	163.3879840373993
dRFE	0.1	svc	9	9	91	19900	0	864.5765788555145
dRFE	0.1	rf	9	98	2	19838	62	928.3891463279724
dRFE	0.2	lr	0	82	18	19623	277	978.5572247505188
dRFE	0.2	sgd	0	81	19	19831	69	93.16161155700684
dRFE	0.2	svc	0	14	86	19897	3	555.0197594165802
dRFE	0.2	rf	0	97	3	19877	23	504.9499011039734
dRFE	0.2	lr	1	92	8	16974	2926	988.7868812084198
dRFE	0.2	sgd	1	41	59	19900	0	93.92788171768188
dRFE	0.2	svc	1	91	9	18585	1315	544.1844472885132
dRFE	0.2	rf	1	75	25	19900	0	503.8823115825653
dRFE	0.2	lr	2	90	10	19543	357	1087.7092490196228
dRFE	0.2	sgd	2	77	23	19885	15	93.6504430770874
dRFE	0.2	svc	2	15	85	19898	2	531.4664664268494
dRFE	0.2	rf	2	28	72	19900	0	502.8075475692749
dRFE	0.2	lr	3	21	79	19899	1	1041.9346144199371
dRFE	0.2	sgd	3	22	78	19900	0	93.50138783454896
dRFE	0.2	svc	3	6	94	19898	2	521.4832999706268
dRFE	0.2	rf	3	71	29	19898	2	499.2496190071106
dRFE	0.2	lr	4	16	84	19899	1	976.7175400257112
dRFE	0.2	sgd	4	56	44	19898	2	93.46646404266356
dRFE	0.2	svc	4	14	86	19897	3	527.6813282966614
dRFE	0.2	rf	4	93	7	19765	135	502.2264862060547
dRFE	0.2	lr	5	91	9	19300	600	1018.0712296962738
dRFE	0.2	sgd	5	70	30	19895	5	93.73328566551208
dRFE	0.2	svc	5	14	86	19897	3	521.3466241359711
dRFE	0.2	rf	5	94	6	19812	88	502.09447383880615
dRFE	0.2	lr	6	100	0	4000	15900	1088.9000616073608
dRFE	0.2	sgd	6	75	25	19893	7	94.43769812583923
dRFE	0.2	svc	6	15	85	19898	2	546.771740436554
dRFE	0.2	rf	6	73	27	19900	0	508.3908886909485
dRFE	0.2	lr	7	12	88	19900	0	1009.1589915752412
dRFE	0.2	sgd	7	12	88	19900	0	93.13654565811156
dRFE	0.2	svc	7	14	86	19897	3	513.4949493408203
dRFE	0.2	rf	7	59	41	19900	0	501.3486242294312
dRFE	0.2	lr	8	96	4	15462	4438	1113.6329281330109
dRFE	0.2	sgd	8	76	24	19889	11	92.80178141593932
dRFE	0.2	svc	8	79	21	19825	75	498.32259798049927
dRFE	0.2	rf	8	92	8	19883	17	504.9094319343567
dRFE	0.2	lr	9	17	83	19900	0	985.5430603027344
dRFE	0.2	sgd	9	79	21	19885	15	93.0203800201416
dRFE	0.2	svc	9	15	85	19900	0	519.914960861206
dRFE	0.2	rf	9	92	8	19898	2	498.1715717315674
