RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	0.1	lr	0	87	13	17987	1913	77.96201944351196
RFE	0.1	sgd	0	85	15	17985	1915	6.224604606628418
RFE	0.1	svc	0	86	14	17986	1914	87.97665095329285
RFE	0.1	rf	0	99	1	17999	1901	41.665908098220825
RFE	0.1	lr	1	89	11	17989	1911	79.39823079109192
RFE	0.1	sgd	1	1	99	19900	0	5.1549060344696045
RFE	0.1	svc	1	88	12	17988	1912	93.16110253334044
RFE	0.1	rf	1	100	0	18000	1900	41.846879959106445
RFE	0.1	lr	2	93	7	17993	1907	84.01309776306152
RFE	0.1	sgd	2	86	14	17986	1914	4.721434116363525
RFE	0.1	svc	2	93	7	17993	1907	79.49584794044495
RFE	0.1	rf	2	99	1	17999	1901	41.47623872756958
RFE	0.1	lr	3	90	10	17990	1910	77.76339101791382
RFE	0.1	sgd	3	96	4	15996	3904	4.880179405212402
RFE	0.1	svc	3	89	11	17989	1911	95.59382963180542
RFE	0.1	rf	3	100	0	14000	5900	39.013184785842896
RFE	0.1	lr	4	94	6	17994	1906	78.57885265350342
RFE	0.1	sgd	4	98	2	13998	5902	4.404867887496948
RFE	0.1	svc	4	94	6	17994	1906	82.66391110420227
RFE	0.1	rf	4	100	0	18000	1900	41.62820243835449
RFE	0.1	lr	5	93	7	17993	1907	76.87841010093689
RFE	0.1	sgd	5	93	7	17993	1907	4.652489900588989
RFE	0.1	svc	5	92	8	17992	1908	79.30558800697327
RFE	0.1	rf	5	95	5	17995	1905	41.76000928878784
RFE	0.1	lr	6	92	8	17992	1908	82.61702704429626
RFE	0.1	sgd	6	90	10	17990	1910	3.212822914123535
RFE	0.1	svc	6	91	9	17991	1909	116.2064311504364
RFE	0.1	rf	6	100	0	18000	1900	42.34194993972778
RFE	0.1	lr	7	92	8	17992	1908	80.29769396781921
RFE	0.1	sgd	7	89	11	17989	1911	3.259056806564331
RFE	0.1	svc	7	92	8	17992	1908	81.63879466056824
RFE	0.1	rf	7	100	0	18000	1900	43.35420942306519
RFE	0.1	lr	8	95	5	17995	1905	83.4862380027771
RFE	0.1	sgd	8	85	15	17985	1915	3.395451784133911
RFE	0.1	svc	8	92	8	17992	1908	79.95145535469055
RFE	0.1	rf	8	99	1	17999	1901	43.22661423683167
RFE	0.1	lr	9	94	6	17994	1906	79.23095893859863
RFE	0.1	sgd	9	93	7	17993	1907	3.518407821655273
RFE	0.1	svc	9	93	7	17993	1907	99.84445595741272
RFE	0.1	rf	9	98	2	17998	1902	42.87168502807617
RFE	100.0	lr	0	70	30	19870	30	1411.5703749656675
RFE	100.0	sgd	0	47	53	19847	53	51.268128395080566
RFE	100.0	svc	0	60	40	19860	40	1641.0810611248016
RFE	100.0	rf	0	73	27	19873	27	760.846170425415
RFE	100.0	lr	1	68	32	19868	32	1403.1340188980105
RFE	100.0	sgd	1	46	54	19846	54	59.38686990737915
RFE	100.0	svc	1	56	44	19856	44	1657.8285174369812
RFE	100.0	rf	1	71	29	19871	29	762.3064527511597
RFE	100.0	lr	2	69	31	19869	31	1435.6892595291138
RFE	100.0	sgd	2	56	44	19756	144	52.77088236808777
RFE	100.0	svc	2	63	37	19863	37	1477.6055562496183
RFE	100.0	rf	2	76	24	19876	24	777.1376490592957
RFE	100.0	lr	3	65	35	19865	35	1456.4482493400574
RFE	100.0	sgd	3	45	55	19845	55	51.67106103897095
