fold	n_features_all_features	train_acc_all_features	train_nmi_all_features	train_roc_all_features	n_max	n_features	train_nmi	train_acc	train_roc	test_nmi	test_acc	test_roc	n_redundant	test_nmi_redundant	test_acc_redundant	test_roc_redundant
0	22064	0.6456692913385826	0.03857461662195422	0.5990909090909091	72	72	0.5370031271687389	0.905511811023622	0.9010389610389611	1.0	1.0	1.0	153	0.5192793292040839	0.8666666666666667	0.8333333333333334
1	22064	0.7007874015748031	0.09819074231272366	0.6725974025974026	99	32	0.5968492823723929	0.9212598425196851	0.9105194805194805	0.2636209822175658	0.8	0.7777777777777778	110	0.42122289977034844	0.8666666666666667	0.8611111111111112
2	22064	0.6015625	0.014038337428143595	0.5628978864272982	40	80	0.6061248319026147	0.921875	0.9251336898395722	1.0	1.0	1.0	189	0.6712730568122484	0.9285714285714286	0.9
3	22064	0.65625	0.04918381871258145	0.6050420168067228	137	89	0.44460563508262896	0.875	0.8629997453526865	1.0	1.0	1.0	153	0.3817256630157462	0.8571428571428571	0.8444444444444444
4	22064	0.7109375	0.11362460788067473	0.6703590527119939	36	51	0.49357131436512636	0.890625	0.8892284186401833	0.6873020796274706	0.9285714285714286	0.9444444444444444	89	0.3197275529409934	0.7857142857142857	0.7
5	22064	0.578125	0.0071115624620061175	0.5467277820218996	25	89	0.4666867298023485	0.8828125	0.872803666921314	0.6873020796274706	0.9285714285714286	0.9444444444444444	210	0.15650837515349558	0.7142857142857143	0.7333333333333333
6	22064	0.6953125	0.0891249366409428	0.6458974358974359	40	45	0.5650203704446556	0.9140625	0.9079487179487179	0.16367400957485914	0.7142857142857143	0.7291666666666667	322	0.06150807821590956	0.6428571428571429	0.6458333333333334
7	22064	0.59375	0.007694396294244802	0.5446153846153845	64	72	0.4898650895779306	0.890625	0.877948717948718	0.41017108204226305	0.7857142857142857	0.8125	153	0.06150807821590956	0.6428571428571429	0.6458333333333334
8	22064	0.6640625	0.05305350029010694	0.6094871794871795	153	99	0.5135404605079836	0.8984375	0.8879487179487179	0.2597499579819809	0.7857142857142857	0.7916666666666667	189	0.5294617736385707	0.8571428571428571	0.875
9	22064	0.625	0.027657865632420335	0.5917948717948718	80	89	0.4641323160638482	0.8828125	0.8751282051282051	0.0031498332623189126	0.5714285714285714	0.5208333333333334	210	0.13410985322171995	0.7142857142857143	0.6875
