group1	group2	Diff	Lower	Upper	q-value	p-value	Metrics
('RFE_0.1', 'lr')	('RFE_0.1', 'sgd')	75.68016984462739	-4.807038172301361	156.16737786155613	4.637856861972132	0.0900122210584905	CPU
('RFE_0.1', 'lr')	('RFE_0.1', 'svc')	9.561214756965626	-70.92599325996312	90.04842277389437	0.5859334824488404	0.9	CPU
('RFE_0.1', 'lr')	('RFE_0.1', 'rf')	38.104103779792794	-42.38310423713595	118.59131179672154	2.335108120756363	0.9	CPU
('RFE_0.1', 'lr')	('RFE_100.0', 'lr')	1330.5395484447479	1250.0523404278192	1411.0267564616765	81.53855874727336	0.001	CPU
('RFE_0.1', 'lr')	('RFE_100.0', 'sgd')	28.14215028285981	-52.34505773406894	108.62935829978855	1.7246164360884826	0.9	CPU
('RFE_0.1', 'lr')	('RFE_100.0', 'svc')	1506.6566735029219	1426.1694654859932	1587.1438815198505	92.33142587004504	0.001	CPU
('RFE_0.1', 'lr')	('RFE_100.0', 'rf')	680.5149223566056	600.0277143396768	761.0021303735343	41.70353751591207	0.001	CPU
('RFE_0.1', 'lr')	('dRFE_0.1', 'lr')	985.4712208986283	904.9840128816995	1065.958428915557	60.39196890683538	0.001	CPU
('RFE_0.1', 'lr')	('dRFE_0.1', 'sgd')	82.93468613624572	2.447478119316969	163.42189415317446	5.082430496418847	0.03633771012317766	CPU
('RFE_0.1', 'lr')	('dRFE_0.1', 'svc')	759.9165454626084	679.4293374456796	840.4037534795372	46.56945369091446	0.001	CPU
('RFE_0.1', 'lr')	('dRFE_0.1', 'rf')	859.6607789993286	779.1735709823998	940.1479870162574	52.682012355887764	0.001	CPU
('RFE_0.1', 'lr')	('dRFE_0.2', 'lr')	948.878586101532	868.3913780846033	1029.3657941184608	58.149487121451266	0.001	CPU
('RFE_0.1', 'lr')	('dRFE_0.2', 'sgd')	13.46115593910217	-67.02605207782658	93.94836395603092	0.8249309504776957	0.9	CPU
('RFE_0.1', 'lr')	('dRFE_0.2', 'svc')	447.94602544307713	367.45881742614836	528.4332334600059	27.451174490748095	0.001	CPU
('RFE_0.1', 'lr')	('dRFE_0.2', 'rf')	422.7804936170578	342.293285600129	503.2677016339866	25.908972158167472	0.001	CPU
('RFE_0.1', 'sgd')	('RFE_0.1', 'svc')	85.24138460159301	4.754176584664265	165.72859261852176	5.223790344420972	0.026477593283810497	CPU
('RFE_0.1', 'sgd')	('RFE_0.1', 'rf')	37.57606606483459	-42.911141952094155	118.06327408176334	2.3027487412157686	0.9	CPU
('RFE_0.1', 'sgd')	('RFE_100.0', 'lr')	1406.2197182893754	1325.7325102724467	1486.706926306304	86.1764156092455	0.001	CPU
('RFE_0.1', 'sgd')	('RFE_100.0', 'sgd')	47.53801956176758	-32.94918845516117	128.02522757869633	2.9132404258836493	0.7575906696334213	CPU
('RFE_0.1', 'sgd')	('RFE_100.0', 'svc')	1582.3368433475493	1501.8496353306207	1662.824051364478	96.96928273201718	0.001	CPU
('RFE_0.1', 'sgd')	('RFE_100.0', 'rf')	756.1950922012329	675.7078841843041	836.6823002181617	46.3413943778842	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.1', 'lr')	1061.1513907432557	980.6641827263269	1141.6385987601843	65.02982576880751	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.1', 'sgd')	158.6148559808731	78.12764796394436	239.10206399780185	9.720287358390978	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.1', 'svc')	835.5967153072357	755.109507290307	916.0839233241645	51.20731055288658	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.1', 'rf')	935.340948843956	854.8537408270272	1015.8281568608847	57.319869217859896	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.2', 'lr')	1024.5587559461594	944.0715479292306	1105.045963963088	62.7873439834234	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.2', 'sgd')	89.14132578372956	8.654117766800809	169.62853380065832	5.462787812449827	0.015181283576179094	CPU
('RFE_0.1', 'sgd')	('dRFE_0.2', 'svc')	523.6261952877045	443.1389872707757	604.1134033046333	32.08903135272022	0.001	CPU
('RFE_0.1', 'sgd')	('dRFE_0.2', 'rf')	498.46066346168516	417.9734554447564	578.9478714786139	30.546829020139604	0.001	CPU
('RFE_0.1', 'svc')	('RFE_0.1', 'rf')	47.66531853675842	-32.82188948017033	128.15252655368715	2.921041603205204	0.7541227915862999	CPU
('RFE_0.1', 'svc')	('RFE_100.0', 'lr')	1320.9783336877824	1240.4911256708538	1401.465541704711	80.95262526482452	0.001	CPU
('RFE_0.1', 'svc')	('RFE_100.0', 'sgd')	37.703365039825435	-42.78384297710331	118.19057305675418	2.310549918537323	0.9	CPU
('RFE_0.1', 'svc')	('RFE_100.0', 'svc')	1497.0954587459564	1416.6082507290278	1577.582666762885	91.74549238759622	0.001	CPU
('RFE_0.1', 'svc')	('RFE_100.0', 'rf')	670.9537075996399	590.4664995827111	751.4409156165686	41.11760403346322	0.001	CPU
('RFE_0.1', 'svc')	('dRFE_0.1', 'lr')	975.9100061416626	895.4227981247338	1056.3972141585914	59.806035424386536	0.001	CPU
('RFE_0.1', 'svc')	('dRFE_0.1', 'sgd')	73.37347137928009	-7.113736637648657	153.86067939620884	4.496497013970006	0.1181850387876362	CPU
('RFE_0.1', 'svc')	('dRFE_0.1', 'svc')	750.3553307056427	669.8681226887139	830.8425387225715	45.98352020846561	0.001	CPU
('RFE_0.1', 'svc')	('dRFE_0.1', 'rf')	850.0995642423629	769.6123562254342	930.5867722592917	52.09607887343892	0.001	CPU
('RFE_0.1', 'svc')	('dRFE_0.2', 'lr')	939.3173713445664	858.8301633276376	1019.8045793614951	57.56355363900242	0.001	CPU
('RFE_0.1', 'svc')	('dRFE_0.2', 'sgd')	3.899941182136544	-76.5872668347922	84.38714919906529	0.23899746802885538	0.9	CPU
('RFE_0.1', 'svc')	('dRFE_0.2', 'svc')	438.38481068611145	357.8976026691827	518.8720187030402	26.86524100829925	0.001	CPU
('RFE_0.1', 'svc')	('dRFE_0.2', 'rf')	413.2192788600921	332.73207084316334	493.7064868770209	25.323038675718628	0.001	CPU
