fold	n_features_all_features	train_acc_all_features	train_nmi_all_features	train_roc_all_features	n_max	n_features	train_nmi	train_acc	train_roc	test_nmi	test_acc	test_roc	n_redundant	test_nmi_redundant	test_acc_redundant	test_roc_redundant
0	22226	0.7351351351351352	0.06213033000471992	0.5626236923946848	137	64	0.45356083427729316	0.8918918918918919	0.8420271416454623	0.15747320012017907	0.7619047619047619	0.7333333333333334	110	0.2271996403158596	0.8095238095238095	0.7666666666666668
1	22226	0.6702702702702703	0.0003118696825367288	0.4950523042126096	15	40	0.4421115580683244	0.8864864864864865	0.8273254170200735	0.20995668458975764	0.8095238095238095	0.7166666666666667	137	0.12265342841449232	0.7619047619047619	0.6833333333333333
2	22226	0.6810810810810811	0.006610995747351966	0.5298982188295165	19	51	0.4621214701387917	0.8864864864864865	0.8164404862878145	0.2824938878874462	0.8095238095238095	0.8166666666666667	110	0.7476032083901432	0.9523809523809523	0.9666666666666667
3	22226	0.7135135135135136	0.02763812096084802	0.5527989821882952	110	45	0.41339554287840025	0.8810810810810811	0.8343935538592028	0.12265342841449232	0.7619047619047619	0.6833333333333333	80	0.20995668458975764	0.8095238095238095	0.7166666666666667
4	22226	0.6864864864864865	0.0033732232982783134	0.5173876166242578	80	57	0.4178987512459704	0.8756756756756757	0.8033644331354254	0.33485452377969627	0.8571428571428571	0.8	189	0.5622124855361612	0.9047619047619048	0.8333333333333334
5	22226	0.7081081081081081	0.015748871387028587	0.532654792196777	17	36	0.33657500801711815	0.8540540540540541	0.782654792196777	0.33485452377969627	0.8571428571428571	0.8	261	0.045282265038761586	0.7142857142857143	0.6000000000000001
6	22226	0.7043010752688172	0.011545432047013405	0.5290404040404041	32	57	0.47944571428366045	0.8924731182795699	0.8257575757575758	0.11474531093545434	0.75	0.6785714285714286	99	0.11474531093545434	0.75	0.6785714285714286
7	22226	0.6989247311827957	0.005958028591942935	0.5197811447811448	40	40	0.4149285653334312	0.8709677419354839	0.7887205387205387	0.41557752114131646	0.85	0.75	99	0.41557752114131646	0.85	0.75
8	22226	0.7150537634408602	0.02166895981693084	0.5366161616161617	45	45	0.513666672461539	0.9032258064516129	0.8442760942760943	0.28661598024106577	0.8	0.6666666666666667	89	0.32604489593298674	0.85	0.7976190476190477
9	22226	0.7096774193548387	0.029511930698932466	0.5656565656565656	28	51	0.3942659035255064	0.8709677419354839	0.7996632996632996	0.21744375685031814	0.8	0.7619047619047621	123	0.20217508254747588	0.8	0.7142857142857143
