RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
dRFE	0.1	ridge	8	65	135	19022	778	229.79114031791687
dRFE	0.1	enet	8	58	142	19276	524	11064.683945417404
dRFE	0.1	svr	8	59	141	19177	623	147.12726879119873
dRFE	0.1	rf	8	10	190	19772	28	2235.5047426223755
dRFE	0.1	ridge	9	51	149	19008	792	231.5196537971497
dRFE	0.1	enet	9	44	156	19231	569	10887.075010299684
dRFE	0.1	svr	9	49	151	19168	632	147.36797332763672
dRFE	0.1	rf	9	8	192	19772	28	2319.830399751663
dRFE	0.2	ridge	0	71	129	18774	1026	130.9496636390686
dRFE	0.2	enet	0	65	135	19076	724	6309.276259422302
dRFE	0.2	svr	0	64	136	18987	813	84.76328802108765
dRFE	0.2	rf	0	10	190	19774	26	1213.336395263672
dRFE	0.2	ridge	1	68	132	18770	1030	136.55438446998596
dRFE	0.2	enet	1	64	136	19075	725	6265.128009557724
dRFE	0.2	svr	1	58	142	18981	819	84.30661797523499
dRFE	0.2	rf	1	9	191	19773	27	1196.2027575969696
dRFE	0.2	ridge	2	60	140	18763	1037	129.4882733821869
dRFE	0.2	enet	2	47	153	19146	654	6181.287039279938
dRFE	0.2	svr	2	50	150	19150	650	86.48081421852112
dRFE	0.2	rf	2	11	189	19775	25	1204.3832032680511
dRFE	0.2	ridge	3	66	134	18880	920	129.8093922138214
dRFE	0.2	enet	3	57	143	19068	732	6150.401010274887
dRFE	0.2	svr	3	68	132	18991	809	85.53697109222412
dRFE	0.2	rf	3	7	193	19771	29	1272.559706449509
dRFE	0.2	ridge	4	60	140	18983	817	130.1411964893341
dRFE	0.2	enet	4	59	141	19158	642	6319.791900396347
dRFE	0.2	svr	4	61	139	18985	815	85.84271097183228
dRFE	0.2	rf	4	9	191	19763	37	1219.9328916072843
dRFE	0.2	ridge	5	65	135	18768	1032	130.26606512069702
dRFE	0.2	enet	5	60	140	19071	729	6322.315478563309
dRFE	0.2	svr	5	53	147	19152	648	85.96084380149841
dRFE	0.2	rf	5	9	191	19763	37	1231.146417617798
dRFE	0.2	ridge	6	63	137	18876	924	128.95021891593933
dRFE	0.2	enet	6	51	149	19220	580	6270.608800649643
dRFE	0.2	svr	6	53	147	19152	648	88.56079363822937
dRFE	0.2	rf	6	11	189	19765	35	1268.237909078598
dRFE	0.2	ridge	7	71	129	18774	1026	130.56541085243225
dRFE	0.2	enet	7	66	134	18990	810	6184.623748540878
dRFE	0.2	svr	7	58	142	19157	643	87.46416544914246
dRFE	0.2	rf	7	8	192	19772	28	1208.5437009334564
dRFE	0.2	ridge	8	69	131	18882	918	131.29354810714722
dRFE	0.2	enet	8	66	134	19077	723	6260.36767411232
dRFE	0.2	svr	8	64	136	18987	813	89.09139466285706
dRFE	0.2	rf	8	10	190	19769	31	1192.2675504684448
dRFE	0.2	ridge	9	60	140	18873	927	130.95174932479858
dRFE	0.2	enet	9	55	145	19154	646	6256.669269800186
dRFE	0.2	svr	9	58	142	18982	818	88.86338806152344
dRFE	0.2	rf	9	7	193	19771	29	1245.6620371341703
