RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	0.1	ridge	0	106	94	15906	3894	10.432413816452026
RFE	0.1	enet	0	77	123	17877	1923	1588.107016324997
RFE	0.1	svr	0	83	117	17883	1917	7.899511098861694
RFE	0.1	rf	0	79	121	13879	5921	765.4162168502808
RFE	0.1	ridge	1	149	51	11949	7851	8.074522733688354
RFE	0.1	enet	1	200	0	0	19800	1128.3521132469175
RFE	0.1	svr	1	138	62	13938	5862	7.480260372161865
RFE	0.1	rf	1	134	66	9934	9866	748.5385372638702
RFE	0.1	ridge	2	77	123	17877	1923	9.46159315109253
RFE	0.1	enet	2	106	94	15906	3894	1566.5028047561646
RFE	0.1	svr	2	74	126	17874	1926	7.856876373291016
RFE	0.1	rf	2	124	76	9924	9876	755.8083348274231
RFE	0.1	ridge	3	112	88	15912	3888	9.183380365371704
RFE	0.1	enet	3	106	94	15906	3894	1580.463637828827
RFE	0.1	svr	3	107	93	15907	3893	7.75189733505249
RFE	0.1	rf	3	191	9	5991	13809	789.5953586101532
RFE	0.1	ridge	4	88	112	17888	1912	9.082211017608644
RFE	0.1	enet	4	81	119	17881	1919	1562.5339758396149
RFE	0.1	svr	4	80	120	17880	1920	7.929867029190063
RFE	0.1	rf	4	194	6	5994	13806	760.337767124176
RFE	0.1	ridge	5	105	95	15905	3895	8.87929630279541
RFE	0.1	enet	5	77	123	17877	1923	1603.069545030594
RFE	0.1	svr	5	77	123	17877	1923	7.780719995498657
RFE	0.1	rf	5	200	0	0	19800	729.8333177566528
RFE	0.1	ridge	6	107	93	15907	3893	7.521717071533203
RFE	0.1	enet	6	78	122	17878	1922	1615.8365504741669
RFE	0.1	svr	6	107	93	15907	3893	7.683794260025024
RFE	0.1	rf	6	200	0	0	19800	749.1707737445831
RFE	0.1	ridge	7	124	76	13924	5876	7.728047609329224
RFE	0.1	enet	7	109	91	15909	3891	1639.1775107383728
RFE	0.1	svr	7	122	78	13922	5878	7.431308507919311
RFE	0.1	rf	7	36	164	17836	1964	775.1794514656067
RFE	0.1	ridge	8	117	83	15917	3883	7.552938461303711
RFE	0.1	enet	8	114	86	15914	3886	1615.0679895877838
RFE	0.1	svr	8	157	43	9957	9843	7.208945989608765
RFE	0.1	rf	8	126	74	9926	9874	769.0255794525146
RFE	0.1	ridge	9	159	41	7959	11841	6.015735626220703
RFE	0.1	enet	9	106	94	13906	5894	1625.0683887004852
RFE	0.1	svr	9	81	119	17881	1919	7.806626319885254
RFE	0.1	rf	9	27	173	17827	1973	821.5238780975342
RFE	100.0	ridge	0	99	101	16999	2801	127.2265350818634
RFE	100.0	enet	0	122	78	15722	4078	29176.865161895752
RFE	100.0	svr	0	104	96	16604	3196	133.16207575798035
RFE	100.0	rf	0	26	174	18926	874	14173.08908867836
RFE	100.0	ridge	1	127	73	15127	4673	117.86805772781372
RFE	100.0	enet	1	200	0	0	19800	15881.191180706024
RFE	100.0	svr	1	123	77	15423	4377	135.02674007415771
RFE	100.0	rf	1	29	171	18729	1071	13804.693036317823
RFE	100.0	ridge	2	53	147	18953	847	132.32340550422668
RFE	100.0	enet	2	50	150	19050	750	29279.03411746025
RFE	100.0	svr	2	82	118	17582	2218	135.89141535758972
RFE	100.0	rf	2	14	186	19714	86	13893.3201110363
RFE	100.0	ridge	3	103	97	16503	3297	121.68516159057616
RFE	100.0	enet	3	120	80	15420	4380	31829.491765260696
RFE	100.0	svr	3	95	105	17095	2705	136.46251916885376
RFE	100.0	rf	3	11	189	19711	89	14770.743785858154
RFE	100.0	ridge	4	65	135	18865	935	129.9617621898651
RFE	100.0	enet	4	52	148	19152	648	29350.04377555847
RFE	100.0	svr	4	54	146	19154	646	140.19794964790344
RFE	100.0	rf	4	27	173	18827	973	14235.270127534866
RFE	100.0	ridge	5	92	108	16692	3108	126.93710422515868
RFE	100.0	enet	5	114	86	15714	4086	28326.071823358536
RFE	100.0	svr	5	92	108	16692	3108	134.1270785331726
RFE	100.0	rf	5	9	191	19709	91	14451.379035949709
RFE	100.0	ridge	6	77	123	18277	1523	130.99327683448792
RFE	100.0	enet	6	118	82	15618	4182	28348.044095516205
RFE	100.0	svr	6	123	77	14223	5577	132.85971403121948
RFE	100.0	rf	6	197	3	8897	10903	14275.962143182756
RFE	100.0	ridge	7	121	79	14421	5379	115.94954204559326
RFE	100.0	enet	7	121	79	15421	4379	28488.484765529636
RFE	100.0	svr	7	120	80	14720	5080	133.09040188789368
RFE	100.0	rf	7	38	162	18038	1762	13995.37117409706
RFE	100.0	ridge	8	124	76	14924	4876	118.52266716957092
RFE	100.0	enet	8	134	66	15534	4266	28215.998310804367
RFE	100.0	svr	8	124	76	15224	4576	133.50907588005066
RFE	100.0	rf	8	15	185	19615	185	13967.438833236694
RFE	100.0	ridge	9	50	150	19050	750	133.62640571594238
RFE	100.0	enet	9	63	137	18763	1037	28205.83233833313
RFE	100.0	svr	9	62	138	18862	938	138.4543583393097
RFE	100.0	rf	9	20	180	18820	980	14589.137786388395
dRFE	0.1	ridge	0	66	134	18929	871	230.55634212493896
dRFE	0.1	enet	0	56	144	19274	526	11015.90464258194
dRFE	0.1	svr	0	63	137	19181	619	147.42374634742737
dRFE	0.1	rf	0	10	190	19770	30	2266.7161984443665
dRFE	0.1	ridge	1	61	139	19018	782	232.56378197669983
dRFE	0.1	enet	1	54	146	19303	497	11052.711669445038
dRFE	0.1	svr	1	54	146	19172	628	144.2646129131317
dRFE	0.1	rf	1	11	189	19773	27	2231.062601327896
dRFE	0.1	ridge	2	52	148	18962	838	232.69924116134644
dRFE	0.1	enet	2	47	153	19200	600	11046.635514736176
dRFE	0.1	svr	2	46	154	19164	636	144.39531254768372
dRFE	0.1	rf	2	11	189	19771	29	2234.0566420555115
dRFE	0.1	ridge	3	62	138	19019	781	230.04811024665835
dRFE	0.1	enet	3	57	143	19306	494	10995.243673801422
dRFE	0.1	svr	3	56	144	19174	626	145.02088737487793
dRFE	0.1	rf	3	8	192	19772	28	2365.4060294628143
dRFE	0.1	ridge	4	60	140	19017	783	228.66157293319705
dRFE	0.1	enet	4	54	146	19272	528	11222.764885902405
dRFE	0.1	svr	4	59	141	19138	662	145.3118133544922
dRFE	0.1	rf	4	7	193	19765	35	2277.826792240143
dRFE	0.1	ridge	5	59	141	19016	784	227.602703332901
dRFE	0.1	enet	5	52	148	19239	561	11076.37630391121
dRFE	0.1	svr	5	53	147	19133	667	146.588858127594
dRFE	0.1	rf	5	9	191	19769	31	2298.6613290309906
dRFE	0.1	ridge	6	60	140	18923	877	229.4711308479309
dRFE	0.1	enet	6	54	146	19241	559	10985.344401836395
dRFE	0.1	svr	6	52	148	19170	630	145.85802698135376
dRFE	0.1	rf	6	12	188	19772	28	2355.870539188385
dRFE	0.1	ridge	7	64	136	18927	873	237.4860272407532
dRFE	0.1	enet	7	61	139	19214	586	11031.87622833252
dRFE	0.1	svr	7	62	138	19181	619	145.91434574127197
dRFE	0.1	rf	7	8	192	19768	32	2256.7434294223785
