Test	Mean	Median	Std	Method
n_features	54.1	57.5	18.1135308540329	RF
test_acc	0.824873949579832	0.8	0.0739476699524187	RF
test_nmi	0.37309645602461	0.285479803837845	0.222439104296185	RF
test_roc	0.807738095238095	0.78452380952381	0.0785338414183426	RF
train_acc	0.84961742740278	0.848242811501597	0.00644860732657218	RF
train_nmi	0.388487053398247	0.383303291193822	0.0185459942641466	RF
train_roc	0.830909879411257	0.831302787162162	0.00723627018191709	RF
n_features	8677	1029	10892.1790392108	SGD
test_acc	0.600672268907563	0.614285714285714	0.107256800326738	SGD
test_nmi	0.0538178161023377	0.0520034759350843	0.0453351066682076	SGD
test_roc	0.583809523809524	0.611309523809524	0.109417650414466	SGD
train_acc	0.828804867625811	0.83247186666938	0.13492139140708	SGD
train_nmi	0.422243945999092	0.364745884492838	0.296331731966582	SGD
train_roc	0.825461384021023	0.838460272268236	0.139845273611189	SGD
