Test	Mean	Median	Std	Method
n_redundant	214.2	194	95.5461494078472	RF
test_acc_redundant	0.827731092436975	0.828571428571429	0.0771168350847063	RF
test_nmi_redundant	0.398686441644875	0.434568081235833	0.195939384483562	RF
test_roc_redundant	0.798690476190476	0.79702380952381	0.0885506781461958	RF
n_redundant	1907.7	81	5174.96170785618	SGD
test_acc_redundant	0.58890756302521	0.614285714285714	0.0979453732546168	SGD
test_nmi_redundant	0.0413489500130852	0.0449258138809023	0.0341813473247291	SGD
test_roc_redundant	0.567261904761905	0.589285714285714	0.0985570018581548	SGD
