elimination	fold	n_features	n_max	n_redundant	simulation	test_acc	test_nmi	test_roc	train_acc	train_nmi	train_roc
0.2	0	17	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	1	13	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	2	8	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	3	17	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	4	8	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	5	17	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	6	17	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	7	8	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	8	8	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	9	13	20000	20000	0	1.0	1.0	1.0	1.0	1.0	1.0
0.2	0	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	1	13	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	2	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	3	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	4	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	5	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	6	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	7	13	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	8	17	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
0.2	9	13	20000	20000	1	1.0	1.0	1.0	1.0	1.0	1.0
