fold	simulation	elimination	n features	NMI score	Accuracy score	ROC AUC score
0	0	0.2	20000	1.0	1.0	1.0
0	0	0.2	16000	1.0	1.0	1.0
0	0	0.2	12800	1.0	1.0	1.0
0	0	0.2	10240	1.0	1.0	1.0
0	0	0.2	8192	1.0	1.0	1.0
0	0	0.2	6553	1.0	1.0	1.0
0	0	0.2	5242	1.0	1.0	1.0
0	0	0.2	4193	1.0	1.0	1.0
0	0	0.2	3354	1.0	1.0	1.0
0	0	0.2	2683	1.0	1.0	1.0
0	0	0.2	2146	1.0	1.0	1.0
0	0	0.2	1716	1.0	1.0	1.0
0	0	0.2	1372	1.0	1.0	1.0
0	0	0.2	1097	1.0	1.0	1.0
0	0	0.2	877	1.0	1.0	1.0
0	0	0.2	701	1.0	1.0	1.0
0	0	0.2	560	1.0	1.0	1.0
0	0	0.2	448	1.0	1.0	1.0
0	0	0.2	358	1.0	1.0	1.0
0	0	0.2	286	1.0	1.0	1.0
0	0	0.2	228	1.0	1.0	1.0
0	0	0.2	182	1.0	1.0	1.0
0	0	0.2	145	1.0	1.0	1.0
0	0	0.2	116	1.0	1.0	1.0
0	0	0.2	92	1.0	1.0	1.0
0	0	0.2	73	1.0	1.0	1.0
0	0	0.2	58	1.0	1.0	1.0
0	0	0.2	46	1.0	1.0	1.0
0	0	0.2	36	1.0	1.0	1.0
0	0	0.2	28	1.0	1.0	1.0
0	0	0.2	22	1.0	1.0	1.0
0	0	0.2	17	1.0	1.0	1.0
0	0	0.2	13	1.0	1.0	1.0
0	0	0.2	10	1.0	1.0	1.0
0	0	0.2	8	1.0	1.0	1.0
0	0	0.2	6	1.0	1.0	1.0
0	0	0.2	4	1.0	1.0	1.0
0	0	0.2	3	1.0	1.0	1.0
0	0	0.2	2	0.7498568379447907	0.9583333333333334	0.9595238095238096
0	0	0.2	1	0.501075932124786	0.9027777777777778	0.891818181818182
1	0	0.2	20000	1.0	1.0	1.0
1	0	0.2	16000	1.0	1.0	1.0
1	0	0.2	12800	1.0	1.0	1.0
1	0	0.2	10240	1.0	1.0	1.0
1	0	0.2	8192	1.0	1.0	1.0
1	0	0.2	6553	1.0	1.0	1.0
1	0	0.2	5242	1.0	1.0	1.0
1	0	0.2	4193	1.0	1.0	1.0
1	0	0.2	3354	1.0	1.0	1.0
1	0	0.2	2683	1.0	1.0	1.0
1	0	0.2	2146	1.0	1.0	1.0
1	0	0.2	1716	1.0	1.0	1.0
1	0	0.2	1372	1.0	1.0	1.0
1	0	0.2	1097	1.0	1.0	1.0
1	0	0.2	877	1.0	1.0	1.0
1	0	0.2	701	1.0	1.0	1.0
1	0	0.2	560	1.0	1.0	1.0
1	0	0.2	448	1.0	1.0	1.0
1	0	0.2	358	1.0	1.0	1.0
1	0	0.2	286	1.0	1.0	1.0
1	0	0.2	228	1.0	1.0	1.0
1	0	0.2	182	1.0	1.0	1.0
1	0	0.2	145	1.0	1.0	1.0
1	0	0.2	116	1.0	1.0	1.0
1	0	0.2	92	1.0	1.0	1.0
1	0	0.2	73	1.0	1.0	1.0
1	0	0.2	58	1.0	1.0	1.0
1	0	0.2	46	1.0	1.0	1.0
1	0	0.2	36	1.0	1.0	1.0
1	0	0.2	28	1.0	1.0	1.0
1	0	0.2	22	1.0	1.0	1.0
1	0	0.2	17	1.0	1.0	1.0
1	0	0.2	13	1.0	1.0	1.0
1	0	0.2	10	1.0	1.0	1.0
1	0	0.2	8	1.0	1.0	1.0
1	0	0.2	6	1.0	1.0	1.0
1	0	0.2	4	1.0	1.0	1.0
1	0	0.2	3	0.8346468594924263	0.9722222222222222	0.9791666666666667
1	0	0.2	2	0.9056127392255152	0.9861111111111112	0.9827586206896552
1	0	0.2	1	0.9048570504206966	0.9861111111111112	0.9888888888888888
2	0	0.2	20000	1.0	1.0	1.0
2	0	0.2	16000	1.0	1.0	1.0
2	0	0.2	12800	1.0	1.0	1.0
2	0	0.2	10240	1.0	1.0	1.0
2	0	0.2	8192	1.0	1.0	1.0
2	0	0.2	6553	1.0	1.0	1.0
2	0	0.2	5242	1.0	1.0	1.0
2	0	0.2	4193	1.0	1.0	1.0
2	0	0.2	3354	1.0	1.0	1.0
2	0	0.2	2683	1.0	1.0	1.0
2	0	0.2	2146	1.0	1.0	1.0
2	0	0.2	1716	1.0	1.0	1.0
2	0	0.2	1372	1.0	1.0	1.0
2	0	0.2	1097	1.0	1.0	1.0
2	0	0.2	877	1.0	1.0	1.0
2	0	0.2	701	1.0	1.0	1.0
2	0	0.2	560	1.0	1.0	1.0
2	0	0.2	448	1.0	1.0	1.0
2	0	0.2	358	1.0	1.0	1.0
2	0	0.2	286	1.0	1.0	1.0
2	0	0.2	228	1.0	1.0	1.0
2	0	0.2	182	1.0	1.0	1.0
2	0	0.2	145	1.0	1.0	1.0
2	0	0.2	116	1.0	1.0	1.0
2	0	0.2	92	1.0	1.0	1.0
2	0	0.2	73	1.0	1.0	1.0
2	0	0.2	58	1.0	1.0	1.0
2	0	0.2	46	1.0	1.0	1.0
2	0	0.2	36	1.0	1.0	1.0
2	0	0.2	28	1.0	1.0	1.0
2	0	0.2	22	1.0	1.0	1.0
2	0	0.2	17	1.0	1.0	1.0
2	0	0.2	13	1.0	1.0	1.0
2	0	0.2	10	1.0	1.0	1.0
2	0	0.2	8	1.0	1.0	1.0
2	0	0.2	6	1.0	1.0	1.0
2	0	0.2	4	1.0	1.0	1.0
2	0	0.2	3	1.0	1.0	1.0
2	0	0.2	2	1.0	1.0	1.0
2	0	0.2	1	0.7831687594365093	0.9583333333333334	0.9673913043478262
3	0	0.2	20000	1.0	1.0	1.0
3	0	0.2	16000	1.0	1.0	1.0
3	0	0.2	12800	1.0	1.0	1.0
3	0	0.2	10240	1.0	1.0	1.0
3	0	0.2	8192	1.0	1.0	1.0
3	0	0.2	6553	1.0	1.0	1.0
3	0	0.2	5242	1.0	1.0	1.0
3	0	0.2	4193	1.0	1.0	1.0
3	0	0.2	3354	1.0	1.0	1.0
3	0	0.2	2683	1.0	1.0	1.0
3	0	0.2	2146	1.0	1.0	1.0
3	0	0.2	1716	1.0	1.0	1.0
3	0	0.2	1372	1.0	1.0	1.0
3	0	0.2	1097	1.0	1.0	1.0
3	0	0.2	877	1.0	1.0	1.0
3	0	0.2	701	1.0	1.0	1.0
3	0	0.2	560	1.0	1.0	1.0
3	0	0.2	448	1.0	1.0	1.0
3	0	0.2	358	1.0	1.0	1.0
3	0	0.2	286	1.0	1.0	1.0
3	0	0.2	228	1.0	1.0	1.0
3	0	0.2	182	1.0	1.0	1.0
3	0	0.2	145	1.0	1.0	1.0
3	0	0.2	116	1.0	1.0	1.0
3	0	0.2	92	1.0	1.0	1.0
3	0	0.2	73	1.0	1.0	1.0
3	0	0.2	58	1.0	1.0	1.0
