RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	0.1	lr	0	328	72	11928	7672	300.37057280540466
RFE	0.1	sgd	0	311	89	13911	5689	13.296489477157593
RFE	0.1	svc	0	328	72	11928	7672	97.74328708648682
RFE	0.1	rf	0	265	135	17865	1735	101.6221776008606
RFE	0.1	lr	1	385	15	3985	15615	313.30208373069763
RFE	0.1	sgd	1	400	0	0	19600	7.1982502937316895
RFE	0.1	svc	1	321	79	11921	7679	101.83559107780457
RFE	0.1	rf	1	261	139	17861	1739	102.2207009792328
RFE	0.1	lr	2	334	66	11934	7666	344.6691465377808
RFE	0.1	sgd	2	400	0	0	19600	10.087459564208984
RFE	0.1	svc	2	324	76	11924	7676	91.01097869873048
RFE	0.1	rf	2	259	141	17859	1741	101.1281361579895
RFE	0.1	lr	3	329	71	13929	5671	303.3604202270508
RFE	0.1	sgd	3	387	13	3987	15613	10.00270128250122
RFE	0.1	svc	3	339	61	9939	9661	64.27583813667297
RFE	0.1	rf	3	280	120	17880	1720	97.70246076583862
RFE	0.1	lr	4	308	92	13908	5692	524.4112837314606
RFE	0.1	sgd	4	400	0	0	19600	11.731087446212769
RFE	0.1	svc	4	333	67	9933	9667	93.5185616016388
RFE	0.1	rf	4	232	168	17832	1768	104.50136852264404
RFE	0.1	lr	5	290	110	15890	3710	405.5770983695984
RFE	0.1	sgd	5	376	24	5976	13624	11.759471654891968
RFE	0.1	svc	5	237	163	17837	1763	92.70642232894896
RFE	0.1	rf	5	266	134	17866	1734	100.42506647109984
RFE	0.1	lr	6	287	113	17887	1713	335.4048008918762
RFE	0.1	sgd	6	387	13	3987	15613	8.440355777740479
RFE	0.1	svc	6	304	96	15904	3696	84.27564740180969
RFE	0.1	rf	6	377	23	15977	3623	92.99651336669922
RFE	0.1	lr	7	354	46	7954	11646	323.1434426307678
RFE	0.1	sgd	7	394	6	1994	17606	8.54688024520874
RFE	0.1	svc	7	285	115	15885	3715	79.95654678344727
RFE	0.1	rf	7	287	113	17887	1713	103.30417847633362
RFE	0.1	lr	8	293	107	15893	3707	236.5476279258728
RFE	0.1	sgd	8	367	33	7967	11633	9.766273260116575
RFE	0.1	svc	8	276	124	15876	3724	95.09494972229004
RFE	0.1	rf	8	276	124	17876	1724	99.69072890281676
RFE	0.1	lr	9	280	120	15880	3720	237.69854283332825
RFE	0.1	sgd	9	316	84	11916	7684	11.844223260879517
RFE	0.1	svc	9	336	64	9936	9664	87.38764548301697
RFE	0.1	rf	9	292	108	17892	1708	100.82760334014893
RFE	100.0	lr	0	322	78	12622	6978	4161.885540246964
RFE	100.0	sgd	0	364	36	6464	13136	153.43697357177734
RFE	100.0	svc	0	302	98	13602	5998	1115.6446714401245
RFE	100.0	rf	0	83	317	19583	17	1794.1104803085327
RFE	100.0	lr	1	380	20	5380	14220	2994.986880540848
RFE	100.0	sgd	1	292	108	10892	8708	181.8868417739868
RFE	100.0	svc	1	325	75	11525	8075	1129.4316322803495
RFE	100.0	rf	1	89	311	19589	11	1709.077688217163
RFE	100.0	lr	2	290	110	15790	3810	2984.282172679901
RFE	100.0	sgd	2	379	21	3679	15921	116.6848247051239
RFE	100.0	svc	2	332	68	11032	8568	963.5500133037568
RFE	100.0	rf	2	91	309	19591	9	1576.7998051643372
RFE	100.0	lr	3	311	89	15311	4289	3946.880748271942
RFE	100.0	sgd	3	398	2	898	18702	101.04348087310792
RFE	100.0	svc	3	319	81	12219	7381	808.9623019695282
RFE	100.0	rf	3	181	219	19481	119	1457.3487765789032
RFE	100.0	lr	4	296	104	14296	5304	3815.290323972702
RFE	100.0	sgd	4	298	102	10698	8902	186.4341034889221
RFE	100.0	svc	4	333	67	9833	9767	1131.6475870609283
RFE	100.0	rf	4	121	279	19521	79	1417.9907336235046
RFE	100.0	lr	5	285	115	15685	3915	2916.142369031906
RFE	100.0	sgd	5	311	89	9511	10089	154.8048872947693
RFE	100.0	svc	5	243	157	17343	2257	1044.4856865406036
RFE	100.0	rf	5	125	275	19525	75	1802.2169919013977
RFE	100.0	lr	6	233	167	18933	667	2896.3536789417267
RFE	100.0	sgd	6	285	115	13685	5915	165.99422121047974
RFE	100.0	svc	6	278	122	17078	2522	1052.4070496559143
RFE	100.0	rf	6	97	303	19597	3	1631.5183835029602
