RFE_Method	Elimination	Algorithm	Simulation	TP	FN	TN	FP	CPU
RFE	100.0	lr	7	350	50	8650	10950	3541.9593970775604
RFE	100.0	sgd	7	399	1	1099	18501	105.23359632492064
RFE	100.0	svc	7	251	149	17651	1949	1200.1763887405396
RFE	100.0	rf	7	170	230	19470	130	939.3513281345367
RFE	100.0	lr	8	283	117	15783	3817	3398.7720563411717
RFE	100.0	sgd	8	323	77	10123	9477	169.74906635284424
RFE	100.0	svc	8	218	182	18118	1482	1880.332249879837
RFE	100.0	rf	8	92	308	19592	8	935.7700400352478
RFE	100.0	lr	9	259	141	17059	2541	3509.5567519664764
RFE	100.0	sgd	9	335	65	8835	10765	136.91783094406128
RFE	100.0	svc	9	344	56	8044	11556	1373.8564794063568
RFE	100.0	rf	9	181	219	19381	219	937.1909565925598
dRFE	0.1	lr	0	70	330	19409	191	1662.2897219657898
dRFE	0.1	sgd	0	95	305	19461	139	136.6568751335144
dRFE	0.1	svc	0	73	327	19382	218	632.1865320205688
dRFE	0.1	rf	0	72	328	19592	8	1967.445287704468
dRFE	0.1	lr	1	146	254	18946	654	1584.676957130432
dRFE	0.1	sgd	1	95	305	19433	167	135.5971162319183
dRFE	0.1	svc	1	88	312	19287	313	639.8119142055511
dRFE	0.1	rf	1	80	320	19591	9	1739.9845147132874
dRFE	0.1	lr	2	78	322	19499	101	2294.517982244492
dRFE	0.1	sgd	2	90	310	19584	16	131.73524689674375
dRFE	0.1	svc	2	78	322	19517	83	511.2038593292236
dRFE	0.1	rf	2	82	318	19598	2	1519.986561536789
dRFE	0.1	lr	3	197	203	18988	612	2716.6806905269623
dRFE	0.1	sgd	3	92	308	19593	7	129.2371666431427
dRFE	0.1	svc	3	88	312	19527	73	481.88993310928345
dRFE	0.1	rf	3	75	325	19599	1	2097.3615481853485
dRFE	0.1	lr	4	91	309	19400	200	2965.803959131241
dRFE	0.1	sgd	4	131	269	19363	237	135.79482126235962
dRFE	0.1	svc	4	80	320	19389	211	669.0951247215271
dRFE	0.1	rf	4	77	323	19592	8	1747.3000919818878
dRFE	0.1	lr	5	72	328	19549	51	2280.852444410324
dRFE	0.1	sgd	5	89	311	19579	21	132.78660893440247
dRFE	0.1	svc	5	85	315	19504	96	850.6323311328888
dRFE	0.1	rf	5	74	326	19594	6	1133.72394323349
dRFE	0.1	lr	6	125	275	19546	54	1717.1275429725647
dRFE	0.1	sgd	6	89	311	19600	0	129.4498519897461
dRFE	0.1	svc	6	102	298	19565	35	758.5963854789734
dRFE	0.1	rf	6	95	305	19596	4	1118.471694231033
dRFE	0.1	lr	7	69	331	19499	101	2574.380479812622
dRFE	0.1	sgd	7	56	344	19576	24	132.66156458854675
dRFE	0.1	svc	7	80	320	19420	180	745.6248219013214
dRFE	0.1	rf	7	95	305	19596	4	1121.169660806656
dRFE	0.1	lr	8	87	313	19534	66	1804.91014623642
dRFE	0.1	sgd	8	112	288	19582	18	132.76880168914795
dRFE	0.1	svc	8	175	225	19031	569	849.4001967906952
dRFE	0.1	rf	8	77	323	19597	3	1124.5208728313446
dRFE	0.1	lr	9	65	335	19465	135	1570.064147233963
dRFE	0.1	sgd	9	72	328	19549	51	133.0087993144989
dRFE	0.1	svc	9	76	324	19415	185	762.5513963699341
dRFE	0.1	rf	9	97	303	19598	2	1120.3362748622894
dRFE	0.2	lr	0	113	287	19346	254	1635.621948003769
dRFE	0.2	sgd	0	172	228	19331	269	134.95048069953918
dRFE	0.2	svc	0	106	294	19384	216	459.2264063358307
dRFE	0.2	rf	0	61	339	19569	31	777.1730718612671
dRFE	0.2	lr	1	260	140	17635	1965	2381.84867310524
dRFE	0.2	sgd	1	133	267	19499	101	137.98449993133545
dRFE	0.2	svc	1	123	277	19194	406	493.3399827480316
dRFE	0.2	rf	1	68	332	19595	5	1037.3547019958496
dRFE	0.2	lr	2	238	162	18217	1383	1950.839332342148
dRFE	0.2	sgd	2	107	293	19591	9	133.6016035079956
dRFE	0.2	svc	2	178	222	19077	523	401.7787187099457
dRFE	0.2	rf	2	85	315	19593	7	1404.0273971557615
dRFE	0.2	lr	3	229	171	18842	758	1555.8110790252686
dRFE	0.2	sgd	3	172	228	19538	62	128.02027082443237
dRFE	0.2	svc	3	258	142	18099	1501	368.0575292110443
dRFE	0.2	rf	3	71	329	19598	2	1341.86301279068
dRFE	0.2	lr	4	214	186	18517	1083	1692.0481626987455
dRFE	0.2	sgd	4	226	174	18825	775	141.45466017723083
dRFE	0.2	svc	4	121	279	19354	246	498.6882803440094
dRFE	0.2	rf	4	77	323	19585	15	868.8905012607574
dRFE	0.2	lr	5	259	141	17928	1672	1656.107902765274
dRFE	0.2	sgd	5	182	218	19424	176	129.7633876800537
dRFE	0.2	svc	5	213	187	18675	925	400.4824414253235
dRFE	0.2	rf	5	67	333	19594	6	600.715763092041
dRFE	0.2	lr	6	193	207	19334	266	1499.7122819423676
dRFE	0.2	sgd	6	104	296	19600	0	128.99045419692993
dRFE	0.2	svc	6	237	163	18740	860	348.03561878204346
dRFE	0.2	rf	6	80	320	19598	2	594.3050992488861
dRFE	0.2	lr	7	85	315	19537	63	2137.547033548355
dRFE	0.2	sgd	7	89	311	19573	27	131.0075340270996
dRFE	0.2	svc	7	94	306	19489	111	299.41185903549194
dRFE	0.2	rf	7	80	320	19598	2	593.2680146694183
dRFE	0.2	lr	8	219	181	18611	989	1979.014270305633
dRFE	0.2	sgd	8	212	188	19301	299	134.35452008247375
dRFE	0.2	svc	8	177	223	19147	453	363.4691522121429
dRFE	0.2	rf	8	81	319	19589	11	590.9759335517883
dRFE	0.2	lr	9	94	306	19466	134	1870.3650665283203
dRFE	0.2	sgd	9	123	277	19508	92	129.23383784294128
dRFE	0.2	svc	9	107	293	19386	214	342.6191668510437
dRFE	0.2	rf	9	79	321	19597	3	594.6452786922455
